exp_id	symbol	lookforward_bars	entry_threshold	num_trades	win_rate	sharpe	return_dd_ratio	total_return_pct	max_dd_pct	profit_factor	test_auc	avg_hold_bars	status	elapsed_s
WG_EURCHF_lf120_et54	EURCHF	120	0.54	72	0.4305555555555556	-0.7635255002330653	-0.7314107012451534	-4.539567902118158	6.206592129962002	0.7886128185815308	0.4872805477505663	120.0	OK	56.7
WG_EURCHF_lf060_et62	EURCHF	60	0.62	93	0.3870967741935484	-2.6516664991276953	-0.8734971059801462	-9.57488507158899	10.961553285107986	0.5507025566771045	0.4569306980123012	60.0	OK	58.0
WG_EURCHF_lf120_et57	EURCHF	120	0.58	64	0.390625	-1.1523826377818904	-0.8283557268665206	-5.984833737656004	7.224956070860106	0.7011947563281057	0.4872805477505663	120.0	OK	56.8
WG_EURCHF_lf120_et60	EURCHF	120	0.6	61	0.3770491803278688	-1.3121393456708172	-0.7934914030101892	-6.178763013870025	7.7868052387590705	0.6658792838324032	0.4872805477505663	120.0	OK	56.6
WG_EURCHF_lf120_et62	EURCHF	120	0.62	56	0.39285714285714285	-0.6735602901895194	-0.6575426613590553	-3.008153379442302	4.574841384777742	0.8085140569223243	0.4872805477505663	120.0	OK	58.4
WG_EURCHF_lf120_et65	EURCHF	120	0.65	54	0.3888888888888889	-2.406832205916663	-0.8650307375481137	-9.708273138216427	11.223038346283557	0.4768823277743693	0.4872805477505663	120.0	OK	58.4
WG_GBPCAD_lf030_et60	GBPCAD	30	0.6	226	0.4778761061946903	-0.47912154703242127	-0.39642895415080054	-2.9067715134974415	7.332389531748766	0.9312663084090828	0.4944702311609845	30.0	OK	49.0
WG_GBPCAD_lf030_et57	GBPCAD	30	0.58	249	0.4779116465863454	-0.23505800514529937	-0.2403001684624697	-1.7603090074305716	7.325458898733557	0.9653557059774752	0.4944702311609845	30.0	OK	49.3
WG_GBPCAD_lf030_et62	GBPCAD	30	0.62	203	0.4975369458128079	-0.6610119595790572	-0.47752417598022273	-3.2246727409177223	6.752899440742192	0.9069135145541559	0.4944702311609845	30.0	OK	48.8
WG_GBPCAD_lf060_et54	GBPCAD	60	0.54	155	0.535483870967742	0.8124391663755319	1.4601453051395323	6.175455529211371	4.22934313966872	1.1929986972046231	0.4841265383557497	60.0	OK	50.1
WG_GBPCAD_lf030_et65	GBPCAD	30	0.65	170	0.48823529411764705	-1.2018814093862829	-0.5701965046239428	-5.032099292458925	8.825201928899416	0.8335609057729874	0.4944702311609845	30.0	OK	50.5
WG_GBPCAD_lf060_et55	GBPCAD	60	0.55	151	0.5099337748344371	0.5856323320045803	1.0519891722958705	4.199012569594429	3.9914978976736673	1.136855067930498	0.4841265383557497	60.0	OK	50.6
WG_GBPCAD_lf060_et56	GBPCAD	60	0.57	143	0.5314685314685315	0.5549167237193433	0.9984244195082753	3.857704998151079	3.8637927145762334	1.1307670742610232	0.4841265383557497	60.0	OK	50.6
WG_GBPCAD_lf060_et57	GBPCAD	60	0.58	140	0.5285714285714286	0.9860394832217393	1.8987532924428054	6.8856144043759615	3.6263870781850773	1.2467855766418183	0.4841265383557497	60.0	OK	49.8
WG_GBPCAD_lf060_et60	GBPCAD	60	0.6	131	0.5114503816793893	0.8027540242817225	1.3226244661414932	5.0082312515876914	3.7865859734156126	1.1913559963692315	0.4841265383557497	60.0	OK	49.7
WG_GBPCAD_lf120_et54	GBPCAD	120	0.54	85	0.5294117647058824	0.47301061643348297	0.7473059070334769	3.5997433440589255	4.8169609127653645	1.1457643467392926	0.4547484823487108	120.0	OK	47.8
WG_GBPCAD_lf060_et62	GBPCAD	60	0.62	124	0.5	0.6386287405651351	1.0433305720766277	3.696217354367848	3.5427097156857568	1.1469285113627756	0.4841265383557497	60.0	OK	51.0
WG_GBPCAD_lf060_et65	GBPCAD	60	0.65	109	0.47706422018348627	0.12152205346414283	0.09688848460808346	0.44912714197808956	4.635505899331804	1.026434716919769	0.4841265383557497	60.0	OK	50.4
WG_GBPCAD_lf120_et57	GBPCAD	120	0.58	78	0.5641025641025641	0.8750758538719976	1.4626631565294592	6.269975510158554	4.286684519377426	1.3056407810890924	0.4547484823487108	120.0	OK	49.7
WG_GBPCAD_lf120_et56	GBPCAD	120	0.57	78	0.5384615384615384	0.50688034482344	0.8703313828533512	3.5428807120872596	4.07072614165888	1.1600857920154528	0.4547484823487108	120.0	OK	50.1
WG_GBPCAD_lf120_et55	GBPCAD	120	0.55	82	0.5609756097560976	0.6537359168311401	1.1919604367168943	4.852144509566636	4.070726141658913	1.207961550165203	0.4547484823487108	120.0	OK	50.6
WG_GBPCAD_lf120_et60	GBPCAD	120	0.6	75	0.5333333333333333	0.7736347089157961	1.0812631128140529	5.23771704142777	4.844072621506798	1.2646620003954678	0.4547484823487108	120.0	OK	51.5
WG_GBPCAD_lf120_et62	GBPCAD	120	0.62	73	0.5342465753424658	1.025958297369469	1.5188801290614056	6.931734651193877	4.563714093407327	1.3660819749311532	0.4547484823487108	120.0	OK	51.5
WG_GBPCAD_lf120_et65	GBPCAD	120	0.65	68	0.5735294117647058	0.8845459153556171	1.1342171362383335	5.451812475431761	4.806674402321999	1.2933993602354914	0.4547484823487108	120.0	OK	51.3
WG_CHFJPY_lf030_et57	CHFJPY	30	0.58	146	0.4863013698630137	0.2028648378344586	0.12905331442777035	0.907622903552574	7.032929821113274	1.0323945987093701	0.49874424372135967	30.0	OK	58.2
WG_CHFJPY_lf030_et54	CHFJPY	30	0.54	189	0.5132275132275133	0.21812100552760677	0.19244494710198162	1.2692382210906628	6.595331497158302	1.035790117306915	0.49874424372135967	30.0	OK	59.9
WG_CHFJPY_lf030_et56	CHFJPY	30	0.57	157	0.5095541401273885	0.44027941989920927	0.4474088342037264	2.6439834424981434	5.90954679561426	1.0717424856217206	0.49874424372135967	30.0	OK	59.8
WG_CHFJPY_lf030_et60	CHFJPY	30	0.6	126	0.4126984126984127	-1.2374748830467255	-0.707217350688841	-7.26974680855792	10.279367158451459	0.8144613168963929	0.49874424372135967	30.0	OK	58.2
WG_CHFJPY_lf030_et55	CHFJPY	30	0.55	178	0.5168539325842697	0.184820930798826	0.1375988969001348	0.942085707056739	6.84660799090909	1.0301001717076061	0.49874424372135967	30.0	OK	60.2
