exp_id	symbol	n_estimators	max_depth	min_samples_leaf	lookforward_bars	conf_threshold	num_trades	win_rate	sharpe	return_dd_ratio	total_return_pct	max_dd_pct	profit_factor	avg_hold_h1_bars	train_auc	test_auc	status	elapsed_s
RF_EURUSD_h24_n200_d8_c50	EURUSD	200	8	20	24	0.5	517	0.47775628626692457	-0.46446246054437706	-0.6198291993159459	-6.5170290104542445	10.5142336270162	0.9265647478453951	24.0	0.7318059810297168	0.5007082903909079	OK	531.9
RF_EURUSD_h6_n200_d8_c55	EURUSD	200	8	20	6	0.55	605	0.42644628099173554	-1.971496601405321	-0.6053061852226732	-6.754718602763221	11.159176574874039	0.8198980997576304	6.0	0.6983042650806033	0.5229976314619191	OK	542.7
RF_EURUSD_h6_n200_d8_c60	EURUSD	200	8	20	6	0.6	102	0.4117647058823529	-2.9074421321097366	-0.758645117518381	-1.843713550550341	2.4302714246436445	0.7467359235834432	6.0	0.6983042650806033	0.5229976314619191	OK	553.7
RF_EURUSD_h24_n200_d8_c55	EURUSD	200	8	20	24	0.55	164	0.4695121951219512	-1.008078950042764	-0.7888722064421166	-3.9714867330855275	5.03438541839024	0.844431669511931	24.0	0.7318059810297168	0.5007082903909079	OK	634.5
RF_EURUSD_h24_n200_d8_c60	EURUSD	200	8	20	24	0.6	51	0.5490196078431373	0.8198769748860922	0.44001392257023775	0.8530534132250578	1.938696412700187	1.145238633578905	24.0	0.7318059810297168	0.5007082903909079	OK	662.4
RF_EURUSD_h6_n200_d8_c50	EURUSD	200	8	20	6	0.5	2070	0.4473429951690821	-2.0854054561248367	-0.9171239248274397	-25.82674399809932	28.160582554815285	0.8219552931617862	6.0	0.6983042650806033	0.5229976314619191	OK	671.9
RF_EURUSD_h6_n300_d12_c50	EURUSD	300	12	15	6	0.5	2070	0.4502415458937198	-1.7734739198189602	-0.9208908576903149	-22.4863664184474	24.41805804744921	0.8464615768619402	6.0	0.8894245267058677	0.5209817625523246	OK	766.3
RF_EURUSD_h6_n300_d12_c55	EURUSD	300	12	15	6	0.55	863	0.4542294322132097	-0.8092299653510415	-0.35748257479485696	-4.480310324859282	12.532947451859238	0.9246657481790647	6.0	0.8894245267058677	0.5209817625523246	OK	881.4
RF_EURUSD_h6_n200_dNone_c60	EURUSD	200	None	30	6	0.6	348	0.42528735632183906	-2.133968854177776	-0.4962013973783671	-4.308501171747869	8.682968638362217	0.8127808687535462	6.0	0.9638616079168622	0.513520994447553	OK	596.3
RF_EURUSD_h6_n200_dNone_c50	EURUSD	200	None	30	6	0.5	2070	0.43768115942028984	-2.468460187120701	-0.9348077938943042	-29.731782075688628	31.80523554668855	0.7929275267603197	6.0	0.9638616079168622	0.513520994447553	OK	717.6
RF_EURUSD_h24_n300_d12_c50	EURUSD	300	12	15	24	0.5	517	0.4835589941972921	-0.26646270227602925	-0.4808993275705113	-3.9742969671638706	8.264301360623433	0.957182346325845	24.0	0.8997004814159522	0.49734447572439255	OK	845.9
RF_EURUSD_h6_n200_dNone_c55	EURUSD	200	None	30	6	0.55	1271	0.44767899291896146	-1.9496375251468363	-0.9127282767301733	-15.608674618475115	17.101118718916883	0.8306013545132506	6.0	0.9638616079168622	0.513520994447553	OK	718.7
RF_EURUSD_h6_n300_d12_c60	EURUSD	300	12	15	6	0.6	217	0.391705069124424	-2.0633175952390674	-0.5668108605479166	-2.716904291510569	4.793317278508445	0.7964875993946766	6.0	0.8894245267058677	0.5209817625523246	OK	936.1
RF_EURUSD_h24_n300_d12_c55	EURUSD	300	12	15	24	0.55	281	0.4804270462633452	-1.02889810509692	-0.8969970456500351	-7.622479961442541	8.497775994255017	0.8403967898879839	24.0	0.8997004814159522	0.49734447572439255	OK	933.1
RF_EURUSD_h24_n300_d12_c60	EURUSD	300	12	15	24	0.6	89	0.47191011235955055	-1.9443625715156831	-0.7541219840190007	-3.7611071959167797	4.987398956164121	0.7364089837770311	24.0	0.8997004814159522	0.49734447572439255	OK	913.5
RF_EURUSD_h24_n200_dNone_c50	EURUSD	200	None	30	24	0.5	517	0.4835589941972921	-0.20010620264421428	-0.4607726556551926	-3.10712813865035	6.743299760772892	0.9676834886588463	24.0	0.974745337692986	0.49537403112126366	OK	718.5
RF_EURUSD_h24_n200_dNone_c55	EURUSD	200	None	30	24	0.55	440	0.47954545454545455	-0.6988994259471342	-0.7838566459672578	-8.249654078427149	10.524442346530467	0.8872610123670018	24.0	0.974745337692986	0.49537403112126366	OK	642.9
RF_GBPUSD_h6_n200_d8_c50	GBPUSD	200	8	20	6	0.5	2070	0.3927536231884058	-4.980159200712428	-1.0023877453363774	-54.07968728738033	53.95086635784088	0.6345250616099941	6.0	0.6827756738866171	0.5453887256932963	OK	649.5
RF_GBPUSD_h6_n200_d8_c55	GBPUSD	200	8	20	6	0.55	878	0.36332574031890663	-8.384403529420176	-0.9995828708131083	-32.875559163997906	32.8892782418884	0.46109767411777564	6.0	0.6827756738866171	0.5453887256932963	OK	649.9
RF_EURUSD_h24_n200_dNone_c60	EURUSD	200	None	30	24	0.6	179	0.441340782122905	-1.4424265239465912	-0.7693741308627796	-7.023229590693036	9.128497188769728	0.7815223426229989	24.0	0.974745337692986	0.49537403112126366	OK	682.8
RF_GBPUSD_h6_n200_d8_c60	GBPUSD	200	8	20	6	0.6	259	0.3088803088803089	-11.147295353311165	-0.8929261398960495	-11.216322935127021	12.561310990887527	0.33736345192412515	6.0	0.6827756738866171	0.5453887256932963	OK	649.6
